0.605 
4001.png, -1
4002.png, 2
4003.png, -1
4004.png, -1
4005.png, 1
4006.png, 1
4007.png, -1
4008.png, -1
4009.png, -1
4010.png, -1
4011.png, 2
4012.png, -1
4013.png, -1
4014.png, -1
4015.png, -1
4016.png, -1
4017.png, 3
4018.png, 3
4019.png, 5
4020.png, 3
4021.png, 4
4022.png, 2
4023.png, -1
4024.png, 1
4025.png, 3
4026.png, 3
4027.png, 1
4028.png, 1
4029.png, 1
4030.png, 5
4031.png, 3
4032.png, 4
4033.png, -1
4034.png, 5
4035.png, 5
4036.png, 4
4037.png, -1
4038.png, -1
4039.png, 4
4040.png, 4
4041.png, 5
4042.png, 2
4043.png, 2
4044.png, -1
4045.png, -1
4046.png, 3
4047.png, 4
4048.png, 2
4049.png, -1
4050.png, 4
4051.png, -1
4052.png, 4
4053.png, 5
4054.png, -1
4055.png, 2
4056.png, 4
4057.png, 2
4058.png, 3
4059.png, 2
4060.png, 3
4061.png, -1
4062.png, -1
4063.png, 5
4064.png, -1
4065.png, 4
4066.png, 4
4067.png, 4
4068.png, 5
4069.png, 2
4070.png, 1
4071.png, 4
4072.png, 5
4073.png, 1
4074.png, 3
4075.png, 4
4076.png, 3
4077.png, 5
4078.png, 5
4079.png, -1
4080.png, 3
4081.png, 4
4082.png, -1
4083.png, 3
4084.png, 2
4085.png, 4
4086.png, 2
4087.png, 4
4088.png, 1
4089.png, 5
4090.png, 2
4091.png, -1
4092.png, 3
4093.png, 2
4094.png, -1
4095.png, 3
4096.png, 4
4097.png, 2
4098.png, 2
4099.png, -1
4100.png, 1
4101.png, 4
4102.png, 2
4103.png, 1
4104.png, 3
4105.png, 3
4106.png, -1
4107.png, 3
4108.png, -1
4109.png, -1
4110.png, 3
4111.png, 5
4112.png, 3
4113.png, 1
4114.png, 5
4115.png, 4
4116.png, 2
4117.png, -1
4118.png, 2
4119.png, 4
4120.png, 3
4121.png, -1
4122.png, 5
4123.png, 2
4124.png, 2
4125.png, 1
4126.png, 4
4127.png, -1
4128.png, 5
4129.png, 3
4130.png, 2
4131.png, 3
4132.png, 2
4133.png, 2
4134.png, 2
4135.png, 3
4136.png, 2
4137.png, 2
4138.png, 2
