0.790 
4001.png, 5
4002.png, 3
4003.png, 5
4004.png, 5
4005.png, 1
4006.png, 1
4007.png, 4
4008.png, 5
4009.png, 3
4010.png, 5
4011.png, 1
4012.png, 5
4013.png, 5
4014.png, 5
4015.png, 5
4016.png, 5
4017.png, 4
4018.png, 3
4019.png, 5
4020.png, 5
4021.png, 5
4022.png, 2
4023.png, 4
4024.png, 1
4025.png, 3
4026.png, 5
4027.png, 2
4028.png, 1
4029.png, 5
4030.png, 3
4031.png, 3
4032.png, 4
4033.png, 5
4034.png, 5
4035.png, 5
4036.png, 4
4037.png, 4
4038.png, 5
4039.png, 4
4040.png, 5
4041.png, 5
4042.png, 3
4043.png, 3
4044.png, 3
4045.png, 5
4046.png, 3
4047.png, 4
4048.png, 2
4049.png, 5
4050.png, 4
4051.png, 5
4052.png, 3
4053.png, 5
4054.png, 5
4055.png, 1
4056.png, 4
4057.png, 1
4058.png, 4
4059.png, 3
4060.png, 3
4061.png, 5
4062.png, 3
4063.png, 5
4064.png, 5
4065.png, 4
4066.png, 4
4067.png, 4
4068.png, 1
4069.png, 1
4070.png, 3
4071.png, 4
4072.png, 5
4073.png, 1
4074.png, 3
4075.png, 3
4076.png, 5
4077.png, 5
4078.png, 5
4079.png, 1
4080.png, 4
4081.png, 3
4082.png, 5
4083.png, 5
4084.png, 2
4085.png, 3
4086.png, 5
4087.png, 3
4088.png, 1
4089.png, 5
4090.png, 2
4091.png, 5
4092.png, 3
4093.png, 2
4094.png, 4
4095.png, 5
4096.png, 4
4097.png, 2
4098.png, 1
4099.png, 4
4100.png, 3
4101.png, 5
4102.png, 1
4103.png, 1
4104.png, 2
4105.png, 5
4106.png, 5
4107.png, 3
4108.png, 4
4109.png, 5
4110.png, 4
4111.png, 5
4112.png, 4
4113.png, 5
4114.png, 5
4115.png, 5
4116.png, 1
4117.png, 3
4118.png, 1
4119.png, 4
4120.png, 4
4121.png, 4
4122.png, 1
4123.png, 2
4124.png, 1
4125.png, 1
4126.png, 4
4127.png, 1
4128.png, 5
4129.png, 3
4130.png, 1
4131.png, 3
4132.png, 2
4133.png, 1
4134.png, 1
4135.png, 3
4136.png, 3
4137.png, 1
4138.png, 3
4139.png, 1
4140.png, 2
4141.png, 3
4142.png, 4
4143.png, 1
4144.png, 3
4145.png, 1
4146.png, 4
4147.png, 1
4148.png, 5
4149.png, 5
4150.png, 2
4151.png, 5
4152.png, 3
4153.png, 4
4154.png, 5
4155.png, 3
4156.png, 5
4157.png, 3
4158.png, 1
4159.png, 4
4160.png, 3
4161.png, 1
4162.png, 4
4163.png, 5
4164.png, 3
4165.png, 4
4166.png, 5
4167.png, 4
4168.png, 1
4169.png, 4
4170.png, 1
4171.png, 3
4172.png, 1
4173.png, 3
4174.png, 4
4175.png, 5
4176.png, 5
4177.png, 2
4178.png, 3
4179.png, 5
4180.png, 2
4181.png, 2
4182.png, 2
4183.png, 5
4184.png, 3
4185.png, 3
4186.png, 5
4187.png, 2
4188.png, 3
4189.png, 3
4190.png, 3
4191.png, 3
4192.png, 4
4193.png, 1
4194.png, 3
4195.png, 4
4196.png, 3
4197.png, 5
4198.png, 3
4199.png, 5
4200.png, 3
4201.png, 1
4202.png, 2
4203.png, 2
4204.png, 3
4205.png, 5
4206.png, 3
4207.png, 3
4208.png, 5
4209.png, 3
4210.png, 5
4211.png, 5
4212.png, 3
4213.png, 3
4214.png, 3
4215.png, 5
4216.png, 5
4217.png, 3
4218.png, 4
4219.png, 5
4220.png, 3
4221.png, 5
4222.png, 1
4223.png, 2
4224.png, 3
4225.png, 5
4226.png, 3
4227.png, 3
4228.png, 2
4229.png, 5
4230.png, 5
4231.png, 3
4232.png, 4
4233.png, 5
4234.png, 3
4235.png, 1
4236.png, 2
4237.png, 4
4238.png, 4
4239.png, 2
4240.png, 3
4241.png, 1
4242.png, 3
4243.png, 5
4244.png, 4
4245.png, 5
4246.png, 5
4247.png, 1
4248.png, 3
4249.png, 3
4250.png, 1
4251.png, 5
4252.png, 1
4253.png, 5
4254.png, 5
4255.png, 1
4256.png, 2
4257.png, 5
4258.png, 1
4259.png, 5
4260.png, 1
4261.png, 5
4262.png, 5
4263.png, 2
4264.png, 5
4265.png, 3
4266.png, 4
4267.png, 5
4268.png, 3
4269.png, 5
4270.png, 2
4271.png, 5
4272.png, 3
4273.png, 3
4274.png, 1
4275.png, 3
4276.png, 5
4277.png, 1
4278.png, 3
4279.png, 3
4280.png, 5
4281.png, 5
4282.png, 1
4283.png, 5
4284.png, 3
4285.png, 1
4286.png, 1
4287.png, 1
4288.png, 4
